"Penumbra Start Time (UTCG)","Umbra Start Time (UTCG)","Umbra Stop Time (UTCG)","Penumbra Stop Time (UTCG)","Obstruction","Duration (sec)","Max Percent Shadow","Time of Max Shadow (UTCG)"
5 Aug 2030 01:53:42.043,5 Aug 2030 01:53:59.983,5 Aug 2030 03:38:05.728,5 Aug 2030 03:38:38.270,"Jupiter",6296.227,100.000000,5 Aug 2030 01:53:59.983
7 Aug 2030 23:54:50.887,7 Aug 2030 23:55:09.369,8 Aug 2030 01:43:06.937,8 Aug 2030 01:43:40.630,"Jupiter",6529.743,100.000000,7 Aug 2030 23:55:09.369
10 Aug 2030 21:56:05.403,10 Aug 2030 21:56:24.455,10 Aug 2030 23:48:23.477,10 Aug 2030 23:48:58.380,"Jupiter",6772.978,100.000000,10 Aug 2030 21:56:24.455
13 Aug 2030 19:57:26.015,13 Aug 2030 19:57:45.672,13 Aug 2030 21:53:55.802,13 Aug 2030 21:54:31.983,"Jupiter",7025.968,100.000000,13 Aug 2030 19:57:45.672
16 Aug 2030 17:58:53.186,16 Aug 2030 17:59:13.486,16 Aug 2030 19:59:44.340,16 Aug 2030 20:00:21.868,"Jupiter",7288.682,100.000000,16 Aug 2030 17:59:13.486
19 Aug 2030 16:00:27.429,19 Aug 2030 16:00:48.411,19 Aug 2030 18:05:49.483,19 Aug 2030 18:06:28.432,"Jupiter",7561.003,100.000000,19 Aug 2030 16:00:48.411
22 Aug 2030 14:02:09.317,22 Aug 2030 14:02:31.025,22 Aug 2030 16:12:11.557,22 Aug 2030 16:12:52.009,"Jupiter",7842.692,100.000000,22 Aug 2030 14:02:31.025
25 Aug 2030 12:03:59.472,25 Aug 2030 12:04:21.955,25 Aug 2030 14:18:50.844,25 Aug 2030 14:19:32.887,"Jupiter",8133.415,100.000000,25 Aug 2030 12:04:21.955
28 Aug 2030 10:05:58.602,28 Aug 2030 10:06:21.915,28 Aug 2030 12:25:47.520,28 Aug 2030 12:26:31.248,"Jupiter",8432.647,100.000000,28 Aug 2030 10:06:21.915
31 Aug 2030 08:08:07.490,31 Aug 2030 08:08:31.693,31 Aug 2030 10:33:01.668,31 Aug 2030 10:33:47.184,"Jupiter",8739.694,100.000000,31 Aug 2030 08:08:31.693
3 Sep 2030 06:10:27.016,3 Sep 2030 06:10:52.179,3 Sep 2030 08:40:33.250,3 Sep 2030 08:41:20.664,"Jupiter",9053.648,100.000000,3 Sep 2030 06:10:52.179
6 Sep 2030 04:12:58.169,6 Sep 2030 04:13:24.370,6 Sep 2030 06:48:22.059,6 Sep 2030 06:49:11.492,"Jupiter",9373.323,100.000000,6 Sep 2030 04:13:24.370
9 Sep 2030 02:15:42.067,9 Sep 2030 02:16:09.393,9 Sep 2030 04:56:27.738,9 Sep 2030 04:57:19.321,"Jupiter",9697.254,100.000000,9 Sep 2030 02:16:09.393
12 Sep 2030 00:18:39.977,12 Sep 2030 00:19:08.528,12 Sep 2030 03:04:49.690,12 Sep 2030 03:05:43.565,"Jupiter",10023.588,100.000000,12 Sep 2030 00:19:08.528
14 Sep 2030 22:21:53.343,14 Sep 2030 22:22:23.234,15 Sep 2030 01:13:27.062,15 Sep 2030 01:14:23.387,"Jupiter",10350.045,100.000000,14 Sep 2030 22:22:23.234
17 Sep 2030 20:25:23.822,17 Sep 2030 20:25:55.185,17 Sep 2030 23:22:18.695,17 Sep 2030 23:23:17.643,"Jupiter",10673.821,100.000000,17 Sep 2030 20:25:55.185
