"Time (UTCG)","x (km)","y (km)","z (km)"
23 Apr 2032 17:09:58.699,-257471908.954405,668460988.557712,292806844.658022
23 Apr 2032 18:09:58.699,-257564546.113496,668438775.322795,292797554.119179
23 Apr 2032 19:09:58.699,-257656574.857944,668413341.041162,292786764.374785
23 Apr 2032 20:09:58.699,-257747739.626944,668384735.563295,292774502.017789
23 Apr 2032 21:09:58.699,-257837789.948761,668353025.082207,292760801.222386
23 Apr 2032 22:09:58.699,-257926481.656131,668318291.727190,292745703.538404
23 Apr 2032 23:09:58.699,-258013578.062781,668280633.089242,292729257.654184
24 Apr 2032 00:09:58.699,-258098851.098206,668240161.680444,292711519.129046
24 Apr 2032 01:09:58.699,-258182082.403948,668197004.338418,292692550.100456
24 Apr 2032 02:09:58.699,-258263064.375727,668151301.554867,292672418.956263
24 Apr 2032 03:09:58.699,-258341601.178434,668103206.787905,292651199.999638
24 Apr 2032 04:09:58.699,-258417509.689764,668052885.702226,292628973.081347
24 Apr 2032 05:09:58.699,-258490620.385407,668000515.376726,292605823.217814
24 Apr 2032 06:09:58.699,-258560778.147477,667946283.461863,292581840.187074
24 Apr 2032 07:09:58.699,-258627843.000886,667890387.275215,292557118.096755
24 Apr 2032 08:09:58.699,-258691690.789267,667833032.843130,292531754.927375
24 Apr 2032 09:09:58.699,-258752213.794559,667774433.899355,292505852.055965
24 Apr 2032 10:09:58.699,-258809321.296993,667714810.848885,292479513.764008
24 Apr 2032 11:09:58.699,-258862940.069331,667654389.701574,292452846.732030
24 Apr 2032 12:09:58.699,-258913014.799334,667593400.977927,292425959.522099
24 Apr 2032 13:09:58.699,-258959508.436015,667532078.588732,292398962.049127
24 Apr 2032 14:09:58.699,-259002402.456488,667470658.690661,292371965.041953
24 Apr 2032 15:09:58.699,-259041697.050797,667409378.520785,292345079.495649
24 Apr 2032 16:09:58.699,-259077411.222265,667348475.213621,292318416.116746
24 Apr 2032 17:09:58.699,-259109582.800873,667288184.604946,292292084.763384
24 Apr 2032 18:09:58.699,-259138268.367479,667228740.026764,292266193.882484
24 Apr 2032 19:09:58.699,-259163543.086916,667170371.098286,292240849.946208
24 Apr 2032 20:09:58.699,-259185500.448272,667113302.518087,292216156.890168
24 Apr 2032 21:09:58.699,-259204251.910539,667057752.863263,292192215.556107
24 Apr 2032 22:09:58.699,-259219926.452121,667003933.401575,292169123.141917
24 Apr 2032 23:09:58.699,-259232670.024013,666952046.922566,292146972.661742
25 Apr 2032 00:09:58.699,-259242644.908569,666902286.593337,292125852.418760
25 Apr 2032 01:09:58.699,-259250028.974697,666854834.850181,292105845.496284
