"Time (UTCG)","x (km)","y (km)","z (km)"
9 Aug 2030 16:09:58.699,412423110.050253,638051415.444199,263457789.865160
9 Aug 2030 17:09:58.699,412392578.924515,638127090.608644,263493993.547811
9 Aug 2030 18:09:58.699,412352830.874925,638203422.473546,263530357.326985
9 Aug 2030 19:09:58.699,412303878.017193,638279183.358895,263566297.115589
9 Aug 2030 20:09:58.699,412245930.447025,638353161.520296,263601239.688743
9 Aug 2030 21:09:58.699,412179390.674036,638424186.652550,263634634.729479
9 Aug 2030 22:09:58.699,412104844.212948,638491154.272386,263665966.277354
9 Aug 2030 23:09:58.699,412023046.584475,638553048.557354,263694763.382862
10 Aug 2030 00:09:58.699,411934907.024693,638608963.250547,263720609.786823
10 Aug 2030 01:09:58.699,411841469.238534,638658120.281913,263743152.464100
10 Aug 2030 02:09:58.699,411743889.564208,638699885.799216,263762108.891624
10 Aug 2030 03:09:58.699,411643412.943102,638733783.340581,263777272.919698
10 Aug 2030 04:09:58.699,411541347.115742,638759503.918231,263788519.143872
10 Aug 2030 05:09:58.699,411439035.489664,638776912.821177,263795805.693309
10 Aug 2030 06:09:58.699,411337829.149964,638786052.985111,263799175.371177
10 Aug 2030 07:09:58.699,411239058.507725,638787144.821724,263798755.104018
10 Aug 2030 08:09:58.699,411144005.104479,638780582.448552,263794753.680591
10 Aug 2030 09:09:58.699,411053874.111274,638766926.314932,263787457.787056
10 Aug 2030 10:09:58.699,410969768.076353,638746892.280676,263777226.374565
10 Aug 2030 11:09:58.699,410892662.483691,638721337.271916,263764483.427837
10 Aug 2030 12:09:58.699,410823383.681791,638691241.713758,263749709.238969
10 Aug 2030 13:09:58.699,410762589.725732,638657689.027851,263733430.332598
10 Aug 2030 14:09:58.699,410710754.636495,638621842.545775,263716208.217767
10 Aug 2030 15:09:58.699,410668156.556687,638584920.305114,263698627.196605
10 Aug 2030 16:09:58.699,410634870.163204,638548168.235848,263681281.477415
10 Aug 2030 17:09:58.699,410610763.657705,638512832.348062,263664761.888245
10 Aug 2030 18:09:58.699,410595500.519729,638480130.573987,263649642.504803
10 Aug 2030 19:09:58.699,410588546.083546,638451224.956327,263636467.523045
10 Aug 2030 20:09:58.699,410589178.870365,638427194.896269,263625738.714835
10 Aug 2030 21:09:58.699,410596506.465538,638409012.167823,263617903.799501
10 Aug 2030 22:09:58.699,410609485.587208,638397518.370578,263613346.045285
10 Aug 2030 23:09:58.699,410626945.857823,638393405.432014,263612375.383459
11 Aug 2030 00:09:58.699,410647616.670895,638397199.685638,263615221.275501
11 Aug 2030 01:09:58.699,410670156.448594,638409249.945766,263622027.521938
11 Aug 2030 02:09:58.699,410693183.515582,638429719.878142,263632849.142443
11 Aug 2030 03:09:58.699,410715307.773913,638458584.833085,263647651.393007
11 Aug 2030 04:09:58.699,410735162.354006,638495633.170760,263666310.920638
11 Aug 2030 05:09:58.699,410751434.437290,638540471.973827,263688618.992418
11 Aug 2030 06:09:58.699,410762894.495174,638592536.920017,263714286.678167
11 Aug 2030 07:09:58.699,410768423.266629,638651105.996971,263742951.824284
11 Aug 2030 08:09:58.699,410767035.868926,638715316.616099,263774187.597829
11 Aug 2030 09:09:58.699,410757902.565443,638784185.650359,263807512.366825
